Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.24 AM
Iteration 2 - 16th Oct : 04.24 AM
Iteration 3 - 16th Oct : 04.24 AM
Iteration 4 - 16th Oct : 04.24 AM
Iteration 5 - 16th Oct : 04.24 AM
Iteration 6 - 16th Oct : 04.24 AM
Iteration 7 - 16th Oct : 04.24 AM
Iteration 8 - 16th Oct : 04.24 AM
Iteration 9 - 16th Oct : 04.24 AM
Iteration 10 - 16th Oct : 04.24 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.24 AM
Iteration 2 - 16th Oct : 04.24 AM
Iteration 3 - 16th Oct : 04.24 AM
Iteration 4 - 16th Oct : 04.24 AM
Iteration 5 - 16th Oct : 04.24 AM
Iteration 6 - 16th Oct : 04.24 AM
Iteration 7 - 16th Oct : 04.24 AM
Iteration 8 - 16th Oct : 04.24 AM
Iteration 9 - 16th Oct : 04.24 AM
Iteration 10 - 16th Oct : 04.24 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.24 AM
Iteration 2 - 16th Oct : 04.24 AM
Iteration 3 - 16th Oct : 04.24 AM
Iteration 4 - 16th Oct : 04.25 AM
Iteration 5 - 16th Oct : 04.25 AM
Iteration 6 - 16th Oct : 04.25 AM
Iteration 7 - 16th Oct : 04.25 AM
Iteration 8 - 16th Oct : 04.25 AM
Iteration 9 - 16th Oct : 04.25 AM
Iteration 10 - 16th Oct : 04.25 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.25 AM
Iteration 2 - 16th Oct : 04.25 AM
Iteration 3 - 16th Oct : 04.25 AM
Iteration 4 - 16th Oct : 04.25 AM
Iteration 5 - 16th Oct : 04.25 AM
Iteration 6 - 16th Oct : 04.25 AM
Iteration 7 - 16th Oct : 04.25 AM
Iteration 8 - 16th Oct : 04.25 AM
Iteration 9 - 16th Oct : 04.25 AM
Iteration 10 - 16th Oct : 04.25 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.25 AM
Iteration 2 - 16th Oct : 04.25 AM
Iteration 3 - 16th Oct : 04.25 AM
Iteration 4 - 16th Oct : 04.25 AM
Iteration 5 - 16th Oct : 04.25 AM
Iteration 6 - 16th Oct : 04.25 AM
Iteration 7 - 16th Oct : 04.25 AM
Iteration 8 - 16th Oct : 04.25 AM
Iteration 9 - 16th Oct : 04.25 AM
Iteration 10 - 16th Oct : 04.25 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.25 AM
Iteration 2 - 16th Oct : 04.25 AM
Iteration 3 - 16th Oct : 04.25 AM
Iteration 4 - 16th Oct : 04.25 AM
Iteration 5 - 16th Oct : 04.26 AM
Iteration 6 - 16th Oct : 04.26 AM
Iteration 7 - 16th Oct : 04.26 AM
Iteration 8 - 16th Oct : 04.26 AM
Iteration 9 - 16th Oct : 04.26 AM
Iteration 10 - 16th Oct : 04.26 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.26 AM
Iteration 2 - 16th Oct : 04.26 AM
Iteration 3 - 16th Oct : 04.26 AM
Iteration 4 - 16th Oct : 04.26 AM
Iteration 5 - 16th Oct : 04.26 AM
Iteration 6 - 16th Oct : 04.26 AM
Iteration 7 - 16th Oct : 04.26 AM
Iteration 8 - 16th Oct : 04.26 AM
Iteration 9 - 16th Oct : 04.26 AM
Iteration 10 - 16th Oct : 04.26 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.26 AM
Iteration 2 - 16th Oct : 04.26 AM
Iteration 3 - 16th Oct : 04.26 AM
Iteration 4 - 16th Oct : 04.26 AM
Iteration 5 - 16th Oct : 04.26 AM
Iteration 6 - 16th Oct : 04.26 AM
Iteration 7 - 16th Oct : 04.26 AM
Iteration 8 - 16th Oct : 04.26 AM
Iteration 9 - 16th Oct : 04.26 AM
Iteration 10 - 16th Oct : 04.26 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.26 AM
Iteration 2 - 16th Oct : 04.26 AM
Iteration 3 - 16th Oct : 04.26 AM
Iteration 4 - 16th Oct : 04.26 AM
Iteration 5 - 16th Oct : 04.26 AM
Iteration 6 - 16th Oct : 04.27 AM
Iteration 7 - 16th Oct : 04.27 AM
Iteration 8 - 16th Oct : 04.27 AM
Iteration 9 - 16th Oct : 04.27 AM
Iteration 10 - 16th Oct : 04.27 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.27 AM
Iteration 2 - 16th Oct : 04.27 AM
Iteration 3 - 16th Oct : 04.27 AM
Iteration 4 - 16th Oct : 04.27 AM
Iteration 5 - 16th Oct : 04.27 AM
Iteration 6 - 16th Oct : 04.27 AM
Iteration 7 - 16th Oct : 04.27 AM
Iteration 8 - 16th Oct : 04.27 AM
